CHỈ TIÊU,    Doanh thu thuần,        Tăng trưởng doanh thu,    Lợi nhuận gộp,        Tăng trưởng lợi nhuận gộp,    Lợi nhuận thuần từ HĐKD,        Tăng trưởng lợi nhuận thuần,    Lợi nhuận trước thuế,        Tăng trưởng lợi nhuận trước thuế,    Lợi nhuận sau thuế của Cổ đông công ty mẹ,        Tăng trưởng lợi nhuận sau thuế,    Tổng tài sản,        Tăng trưởng Tổng tài sản,    Tài sản ngắn hạn,        Tăng trưởng tài sản ngắn hạn,    Tài sản dài hạn,        Tăng trưởng tài sản dài hạn,    Nợ ngắn hạn,        Tăng trưởng nợ ngắn hạn,        Vay và nợ thuê tài chính ngắn hạn,            Tăng trưởng vay và nợ thuê tài chính ngắn hạn,    Nợ dài hạn,        Tăng trưởng Nợ dài hạn,    Vốn chủ sở hữu,        Tăng trưởng vốn chủ sở hữu,    Vốn góp cổ phần,        Tăng trưởng vốn góp cổ phần,    P/E,    P/B,    EV/EBITDA,    EPS (VNĐ/CP),        Tăng trưởng EPS,    Giá trị sổ sách (VNĐ/CP),    Biên lợi nhuận gộp,    Biên EBIT,    Biên EBITDA,    Biên lợi nhuận ròng,    ROE LTM,    ROA LTM,    Vòng quay tài sản (vòng),    Hiệu suất sử dụng tài sản cố định,    Số ngày thu tiền khách hàng (ngày),    Số ngày xử lý hàng tồn kho (ngày),    Số ngày phải trả nhà cung cấp (ngày),    Vòng quay tiền mặt (ngày),    Nợ phải trả / Vốn chủ sở hữu,"    Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",    Nợ vay ròng / Vốn chủ sở hữu,    Tổng tài sản / Vốn chủ sở hữu,    Khả năng thanh toán tổng quát,    Khả năng thanh toán nhanh,    Khả năng thanh toán tức thời,    Khả năng thanh toán lãi vay,    Vốn hóa (Tỷ đồng),    Số lượng cổ phiếu lưu hành (Triệu CP)
Q4/2023,14690412703323,0.1264,5631863560161,0.0745,2386698290464,0.2065,2435092799591,0.2243,1728399961335,0.2788,60325276051932,0.1678,36709543350385,0.1867,23615732701547,0.13970000000000002,29667280422306,0.20920000000000002,13837894474107,0.26899999999999996,709640675212,-0.6009,29948354954414,0.18170000000000003,12699688750000,0.1576,19.319241432495346,4.981200754285986,9.448026812004183,1360.9782061272958,0.10460000000000001,19677.773956248337,0.3834,0.17980000000000002,0.2259,0.1396,0.28190000000000004,0.1392,0.23996501763212907,0.5997849846864592,232.8048015291556,67.51080470678065,126.77853879797094,173.53706743796533,1.0143,0.469,-0.3452,2.025284491301701,1.985891718856951,1.1836653638379728,0.8218940763743828,16.058603372381285,142998495325000,1269968875
Q3/2023,13761744975857,0.23440000000000003,5496368967016,0.2608,2438361031885,0.2231,2429150459859,0.1978,1739340360244,0.19649999999999998,62112676348644,0.1267,39531943273981,0.1209,22580733074663,0.1371,33050415339821,0.1517,18937892531470,0.1655,656605379125,-0.7234,28405655629698,0.1808,12699688750000,0.1576,18.651255404660446,4.485523921537609,9.157569195832746,1369.5929045851615,0.0335,18609.97104866448,0.3994,0.19579999999999997,0.23629999999999998,0.1508,0.28059999999999996,0.12560000000000002,0.22443042514211264,0.5878794867865701,237.20811786876413,83.59087424883491,139.97392479945262,180.8250673181464,1.1865999999999999,0.6728000000000001,-0.2697,2.234780702020656,1.8427222288955305,1.1429325584505827,0.8100297875357955,12.242700417618302,120266052462500,1269968875
Q2/2023,12484364264902,0.2366,4633824307037,0.2059,2189766371273,0.19260000000000002,2218132633347,0.19390000000000002,1509219531243,0.2066,60524394513231,0.0751,38758427341944,0.043,21765967171287,0.1374,31286939836444,0.0286,19307278156994,-0.0209,642126793723,-0.7398,28595327883064,0.2214,11043316220000,0.0067,16.17783950891289,3.959961982942292,8.019376850240798,1188.3909605603524,0.042300000000000004,19016.730970846038,0.3712,0.19469999999999998,0.23809999999999998,0.14859999999999998,0.2708,0.12050000000000001,0.22440663079582776,0.5575540257316263,250.0475228587769,95.62737896235254,152.05292751005092,193.6219743110785,1.1166,0.6827,-0.2506,2.2462349943070907,1.8955892201385793,1.1739776018536194,0.8530209927181023,13.998716513513964,122424999550000,1269968875
Q1/2023,11681378883303,0.2005,4567879000694,0.1555,2096933282136,0.18289999999999998,2120643647098,0.192,1493562580890,0.20559999999999998,50741161416448,-0.0874,29524492711606,-0.1937,21216668704842,0.1176,23043504756733,-0.2354,12043373564413,-0.4118,636477445725,-0.7458,27061179213990,0.1787,10970265720000,0.20879999999999999,16.678064156257097,4.198798297526287,8.015210161964138,1176.0507847215538,0.0414,17786.732477379304,0.391,0.1942,0.2379,0.1549,0.2698,0.12689999999999999,0.22815957363218237,0.5350138157485773,263.0128238277334,103.93269811762927,179.23641413050106,187.70910781486162,0.8751000000000001,0.45659999999999995,-0.1772,2.1259741195711994,2.142787143276697,1.1907556404744657,0.7442506631504897,18.776451952470506,95629596784500,1269981365
Q4/2022,13042426271109,0.21850000000000003,5241273784162,0.2801,1978262144383,0.1371,1989028630914,0.12990000000000002,1351601105816,0.0385,51655408644948,-0.038,30933924692832,-0.1191,20721483952116,0.1153,24534231146586,-0.177,10904344845014,-0.3874,1778196752621,-0.2786,25342980745741,0.18309999999999998,10970265720000,0.20879999999999999,15.613726812794779,4.105174999819333,7.708221243158981,1232.058675982554,-0.1409,19172.151986168115,0.4019,0.16449999999999998,0.2028,0.1242,0.27699999999999997,0.1229,0.24428019628742317,0.6193734867930827,220.32287083740954,97.17727927194636,171.1989531870887,146.3011969222672,1.0383,0.4886,-0.2799,2.2528857784756844,1.9631563017605373,1.1807232426886134,0.793839812241158,16.89606759182367,86884504502400,1097026572
Q3/2022,11148559020353,0.2777,4359485692257,0.341,1993657541909,0.2594,2028024819924,0.2377,1453716280969,0.2924,55127101516155,0.1427,35269474823622,0.1505,19857626692533,0.129,28697860823948,0.1084,16248169308008,0.0191,2373472362591,0.16940000000000002,24055768329616,0.18359999999999999,10970265720000,0.20879999999999999,18.956724113277517,4.764577628511812,9.429776003129295,1325.1422691783257,0.0692,18135.645862424015,0.391,0.1968,0.2377,0.1575,0.2891,0.1241,0.20011297081080523,0.5597364705412213,233.32419950087876,118.16045815797,182.8992855766919,168.58537208215685,1.2915999999999999,0.762,-0.2409,2.3292521147775442,1.7742110126139568,1.1527451051746707,0.8407009079745029,15.909945260212899,84141938072400,1097026572
Q2/2022,10096060090959,0.16829999999999998,3842688349310,0.11699999999999999,1836170115757,0.2051,1857844626387,0.20679999999999998,1250820478762,0.25079999999999997,56295551150306,0.19829999999999998,37159706261301,0.2539,19135844889005,0.1032,30416062290247,0.21710000000000002,19720103859650,0.2837,2467815712684,0.27649999999999997,23411673147375,0.1672,10970265720000,0.20879999999999999,21.10688675238801,5.132948769313776,10.605119115881143,1140.1915967100203,0.0347,17829.492270552768,0.38060000000000005,0.20149999999999998,0.2459,0.1547,0.2776,0.11689999999999999,0.1804529804992996,0.5288749021925044,247.69811337776738,118.1774121487999,186.1868494351961,179.68867609137118,1.4046,0.9338,-0.2084,2.375844253322178,1.7119498845388088,1.1491377692980838,0.879154681250781,14.043322567402505,80082939756000,1097026572
Q1/2022,9730253844391,0.2826,3953321292553,0.36579999999999996,1772700579087,0.2845,1779047846680,0.2737,1238879424986,0.36719999999999997,55601299353620,0.2502,36617350544580,0.3122,18983948809040,0.1458,30137625429078,0.3122,20476429866972,0.3831,2504272082956,0.41009999999999996,22959401841586,0.1637,9075516490000,0.1576,19.31346654301958,4.66351106274259,9.173561385785865,1129.3066700539318,0.131,17487.06851392019,0.40630000000000005,0.1978,0.242,0.15810000000000002,0.2686,0.11460000000000001,0.17805008186262866,0.5233163215758103,253.9108723728283,105.8063013063863,213.9727360070416,145.744437672173,1.4217,0.9889,-0.1623,2.344255697354757,1.7033721563864852,1.1538883813187628,0.8770422192708774,16.149409997859248,93356961277200,1097026572
Q4/2021,10704055633280,0.2351,4094368175339,0.1796,1739745644406,0.2224,1760402225467,0.2163,1301522104628,0.32420000000000004,53696643591424,0.2862,35116784160545,0.3713,18579859430879,0.15109999999999998,29811587201351,0.3319,17799441187777,0.4756,2464879747669,2.2239,21420176642404,0.1515,9075516490000,0.1576,21.794512268524432,5.150874039569652,10.416427511313652,1434.1025175394727,0.1514,19770.511693774686,0.3825,0.17739999999999997,0.2202,0.1457,0.2671,0.11199999999999999,0.21000384271722097,0.6211198226140514,217.8693127628391,95.60069733114231,178.89430972912234,134.57570036485907,1.5068000000000001,0.9381999999999999,-0.2826,2.3847873162931372,1.6636468816812173,1.127395231656867,0.8771276025289254,17.07055057774124,100828988203900,907551649
Q3/2021,8725171956972,0.1552,3250928734025,0.08410000000000001,1583035594235,0.156,1638572771884,0.18230000000000002,1124838737907,0.21100000000000002,48244877999621,0.2778,30655506375345,0.3641,17589371624276,0.1508,25891181819535,0.3956,15943319237854,0.5545,2029562969654,0.9815,20324133210432,0.11789999999999999,9075516490000,0.1576,22.057422335122343,5.016606068199388,10.485809139053304,1239.421182415812,0.046,18713.571578949333,0.3726,0.2016,0.2489,0.1575,0.26170000000000004,0.11710000000000001,0.18325307904252305,0.5494727770937464,256.80307935599325,126.84016376372423,223.98487387508771,159.65836924462977,1.3738,0.8739,-0.184,2.2335058173226776,1.727922315965639,1.1085022892136738,0.8304791194402177,18.07256264936035,78503217638500,907551649
