CHỈ TIÊU,    Doanh thu thuần,        Tăng trưởng doanh thu,    Lợi nhuận gộp,        Tăng trưởng lợi nhuận gộp,    Lợi nhuận thuần từ HĐKD,        Tăng trưởng lợi nhuận thuần,    Lợi nhuận trước thuế,        Tăng trưởng lợi nhuận trước thuế,    Lợi nhuận sau thuế của Cổ đông công ty mẹ,        Tăng trưởng lợi nhuận sau thuế,    Tổng tài sản,        Tăng trưởng Tổng tài sản,    Tài sản ngắn hạn,        Tăng trưởng tài sản ngắn hạn,    Tài sản dài hạn,        Tăng trưởng tài sản dài hạn,    Nợ ngắn hạn,        Tăng trưởng nợ ngắn hạn,        Vay và nợ thuê tài chính ngắn hạn,            Tăng trưởng vay và nợ thuê tài chính ngắn hạn,    Nợ dài hạn,        Tăng trưởng Nợ dài hạn,    Vốn chủ sở hữu,        Tăng trưởng vốn chủ sở hữu,    Vốn góp cổ phần,        Tăng trưởng vốn góp cổ phần,    P/E,    P/B,    EV/EBITDA,    EPS (VNĐ/CP),        Tăng trưởng EPS,    Giá trị sổ sách (VNĐ/CP),    Biên lợi nhuận gộp,    Biên EBIT,    Biên EBITDA,    Biên lợi nhuận ròng,    ROE LTM,    ROA LTM,    Vòng quay tài sản (vòng),    Hiệu suất sử dụng tài sản cố định,    Số ngày thu tiền khách hàng (ngày),    Số ngày xử lý hàng tồn kho (ngày),    Số ngày phải trả nhà cung cấp (ngày),    Vòng quay tiền mặt (ngày),    Nợ phải trả / Vốn chủ sở hữu,"    Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",    Nợ vay ròng / Vốn chủ sở hữu,    Tổng tài sản / Vốn chủ sở hữu,    Khả năng thanh toán tổng quát,    Khả năng thanh toán nhanh,    Khả năng thanh toán tức thời,    Khả năng thanh toán lãi vay,    Vốn hóa (Tỷ đồng),    Số lượng cổ phiếu lưu hành (Triệu CP)
Q4/2024,34490982426689,0.0031,4364908953201,-0.0239,3302796466124,-0.0039000000000000003,3286673463710,-0.028900000000000002,2806801098966,-0.0558,224489704917009,0.1955,87078573452172,0.0527,137411131464837,0.3079,75503442847548,0.0558,55882684449477,0.016399999999999998,34338806722745,1.5563999999999998,114647455346716,0.1149,63962502000000,0.1,14.093653575546531,1.5390217203518695,,438.81977896455646,-0.1417,17878.38482600915,0.1266,0.1116,0.1624,0.0815,0.1105,0.0583,0.15826050785802245,0.3178437645168084,76.19963094845605,525.3296638872138,152.90050559847862,448.6287892371912,0.9581000000000001,0.7236,0.49810000000000004,1.895645331247786,2.043746425398434,0.5371666158218655,0.3425322329072692,9.95539130509288,165662880180000,6396250200
Q3/2024,33956260285527,0.19210000000000002,4731176724241,0.3161,3385017591478,0.5906,3412385133844,0.5695,3022946632050,0.5079,211386343928118,0.2183,80841803394106,0.0301,130544540534012,0.3738,68995125104046,0.0761,54180722680952,0.10039999999999999,30612121587612,2.214,111779097236460,0.1193,63962502000000,0.1,14.920452961260592,1.534643113522218,9.501823542667703,472.61231776862013,0.37079999999999996,17446.14699414823,0.1393,0.11599999999999999,0.1681,0.08900000000000001,0.1151,0.0633,0.16247192367925556,0.31311217459366597,90.26822038128546,501.8274301820607,167.44070099003588,424.6549495733103,0.8911,0.7041,0.4814,1.8185860993898402,2.1221984438790975,0.5890848356160682,0.36071825640860433,10.871309866177015,170779880340000,6396250200
Q2/2024,39555509827454,0.341,5247480489645,0.6424,3691521124284,1.1525,3733225669765,1.1936,3319263141862,1.2734,206609079731195,0.1723,84466831221789,-0.0051,122142248509406,0.3372,73551241248845,0.0709,53315313650059,0.030299999999999997,24381273588319,1.514,108676564894031,0.1105,63962502000000,0.1,19.41248895312696,1.7124115737975063,10.850098583560852,518.9389154698795,1.0667,16974.63009863701,0.13269999999999998,0.10859999999999999,0.1524,0.0839,0.10800000000000001,0.0583,0.19363885493482752,0.366132070840726,88.88853898860864,440.8647929801587,167.371948757073,362.38138321169436,0.9011,0.6716,0.4108,1.8536759441799957,2.1097087119097426,0.6023459271245366,0.3854008514461765,10.683626856109774,164383630140000,6396250200
Q1/2024,30852359591717,0.1604,4153982960597,1.4779,2887667766458,4.8705,3261215356873,5.1296,2870588692991,6.221699999999999,201940225528507,0.15130000000000002,94032457790196,0.1009,107907767738311,0.19899999999999998,79314487942852,0.1681,61438295764670,0.22010000000000002,17001157012567,0.5355,105624580573088,0.0953,58147857000000,,24.118159244002506,1.606878134093263,10.787201836713988,448.7924335716261,5.5652,16497.238963771775,0.1346,0.1263,0.1821,0.09300000000000001,0.0919,0.0492,0.15832975968781343,0.2870114349696137,112.29014208853127,527.8382740143255,192.5666920944903,447.56172400836647,0.9118999999999999,0.7339,0.4054,1.8674852207290378,2.0966502962418803,0.6470214860520185,0.4375027502521659,8.839651927421759,185811068310000,6396250200
Q4/2023,34383804927755,0.33140000000000003,4471610043389,6.0512,3315647348962,2.5852999999999997,3384568877748,2.6283,2972779359274,2.4927,187782586563801,0.1024,82716439173043,0.0273,105066147390758,0.1697,71513492904733,0.1463,54981883180636,0.1761,13432674419689,0.1348,102836419239379,0.07,58147857000000,,82.36960080879687,1.544112198265285,14.150526211198137,511.24486999993826,2.4927,17674.021829022866,0.13,0.1191,0.1697,0.0863,0.0684,0.038,0.19033930173720323,0.32174550848823763,100.7542217965027,415.05490178701035,149.10332119943942,366.7058023840736,0.826,0.6358,0.301,1.8000465558757952,2.21060693470291,0.6741658085559847,0.4814378834666927,8.209665922167696,172117656720000,5814785700
Q3/2023,28484087800597,-0.1648,3594806587004,2.5922,2128204982925,2.5747000000000004,2174230121892,2.6725,2004745086782,2.13,173507011684572,-0.055999999999999994,78482566275784,-0.1898,95024445408788,0.0931,64117126047962,-0.11599999999999999,49237590969260,-0.0687,9524697380166,-0.2784,99865188256444,0.0182,58147857000000,,-83.80224499827355,1.6353165685419062,19.593119252433855,344.7668048681484,2.13,17161.96484983118,0.12619999999999998,0.10640000000000001,0.1668,0.0702,0.018500000000000003,0.0103,0.16288240541040383,0.27464532378645884,145.05183910673705,480.46474947073455,182.5302081684544,442.9863804090172,0.7373999999999999,0.5806,0.2837,1.8051475762456182,2.356093366616718,0.7011939907728917,0.4624956507378354,5.5515235049256475,159034388895000,5814785700
Q2/2023,29496383378315,-0.2118,3194986964850,-0.5114,1715017002029,-0.6023,1701886953766,-0.6114,1460042613098,-0.6379,176243321739441,-0.1506,84903568227057,-0.2938,91339753512384,0.0466,68684638366804,-0.2663,51748268155863,-0.08529999999999999,9698392311515,-0.3056,97860291061122,-0.0206,58147857000000,0.3,189.5799808653,1.3066330996025708,12.824999280799947,251.09138813112236,-0.6379,16816.31542926767,0.10830000000000001,0.0926,0.1489,0.049100000000000005,-0.019799999999999998,-0.0102,0.1677589719693006,0.2929026921839718,146.83428694677306,460.1009256525748,193.98127145814613,412.95394114120177,0.8009999999999999,0.6195,0.2506,1.9402786335474245,2.2484882277994194,0.770215740088603,0.5256060613492728,4.270804903843264,150021471060000,5814785700
Q1/2023,26588751786987,-0.39649999999999996,1676437100329,-0.8342,491893455391,-0.9449,532042789767,-0.9404,397497275202,-0.9516,175408611174320,-0.0562,85412137003655,-0.1496,89996474170665,0.0537,67898727221098,-0.06280000000000001,50354261925455,0.0885,11071908681549,-0.23329999999999998,96437975271673,-0.0255,58147857000000,0.3,14.256779485533283,1.2597733884613544,7.2778941613460315,68.35974629331568,-0.9516,16569.302745248377,0.06309999999999999,0.0572,0.1192,0.0144,0.0064,0.0034000000000000002,0.15380594644240558,0.26570097670801346,136.01702720572123,503.9931722235138,192.95680566278912,447.0533937664459,0.8189,0.629,0.2631,1.8488396936677474,2.2211877765624086,0.7526685983279403,0.5197351502679807,3.203166105710346,156999213900000,5814785700
Q4/2022,25825731843835,-0.4224,-885249943204,-1.0923,-2091449212982,-1.2601,-2078547921756,-1.2586,-1991548498312,-1.2681,170335521637131,-0.0443,80514710854455,-0.1449,89820810782676,0.0683,62385392809685,-0.1507,46748670400471,0.06860000000000001,11837189211663,-0.1543,96112939615783,0.0587,58147857000000,0.3,5.846453240583877,1.0684222230870386,4.452537440075186,-342.4973165067803,-1.2063,16510.90554712412,-0.034300000000000004,-0.0444,0.0223,-0.0774,0.0904,0.048499999999999995,0.14585014795397172,0.25982536588051264,126.00489636076219,535.4642782698112,185.90638936163188,475.56278526894147,0.7722,0.6024,0.2425,1.8650847169233407,2.294928537896174,0.7377303834366028,0.5545021685142079,0.6184424124306401,120366063990000,5814785700
Q3/2022,34103341328754,-0.1182,1000727554455,-0.9156,-1351520454161,-1.1233,-1299955296196,-1.1184,-1774133616408,-1.1714,183805111144198,0.0525,96870553001623,0.0095,86934558142575,0.1048,72529758653352,0.0074,52871495029424,0.2195,13199869562990,-0.2796,98075482927856,0.1631,58147857000000,0.3,4.45378982741107,1.3401939260740996,3.8388885119875265,-305.10730883994574,-1.1318000000000001,16847.272184204314,0.029300000000000003,-0.013600000000000001,0.0373,-0.0524,0.1959,0.09970000000000001,0.17430712879232915,0.3501815408046813,116.39943059751731,559.2238903093455,246.4808849909131,429.14243591594976,0.8741,0.6679,0.2711,1.9651649783521932,2.1440091945850828,0.7306006050004832,0.5364875286359951,1.5223138603886477,105829099740000,5814785700
Q2/2022,37422054617017,0.06559999999999999,6539622247077,-0.4302,4312596514808,-0.5822999999999999,4379340489328,-0.5769,4032232311020,-0.5852,207496628090862,0.2984,120220561631693,0.4585,87276066459169,0.1278,93614175927244,0.3502,56575628198553,0.40490000000000004,13967051014643,-0.1531,99915401148975,0.3505,44729227060000,,4.714924276611391,1.7042809814883393,3.870109816558326,693.4446975440557,-0.6809000000000001,17161.695447594742,0.1748,0.1362,0.18100000000000002,0.1075,0.345,0.16329999999999997,0.19027660069172986,0.39406893203865817,113.69384013193357,576.710557189812,300.88149513792723,389.52290218381836,1.0767,0.7008,0.2527,2.1121685837572977,1.9287438337447769,0.6694120719162955,0.47819463188717837,9.44280755988859,113388321150000,5814785700
Q1/2022,44058146671026,0.4132,10108326381223,0.2353,8924403779643,0.16149999999999998,8922103855907,0.1602,8216960357730,0.1776,185847109194471,0.3372,100439719965356,0.5708,85407389229115,0.1382,72447609869307,0.40659999999999996,46260963681821,0.24050000000000002,14441561362127,-0.3206,98957937963037,0.4943,44729227060000,0.35,5.996867374809268,2.281489282959769,4.888757942876149,1413.1149076964264,-0.0941,16993.446267394,0.22940000000000002,0.2161,0.2541,0.1863,0.4325,0.21989999999999998,0.24202248731251666,0.47408059294216304,73.57943844521701,441.7150414707411,247.09312241311324,268.20135750284487,0.878,0.6082,0.1402,1.966523582764933,2.1388983985064973,0.8337548950716377,0.6392110095034109,18.756963045756017,124436413980000,5814785700
Q4/2021,44710731501475,0.7343999999999999,9587409683943,0.5297999999999999,8040286636164,0.508,8038356261876,0.5081,7427443249985,0.6015,178235973830248,0.3553,94154411120305,0.6576000000000001,84081562709943,0.12539999999999998,73459315876441,0.41340000000000005,43747643082356,0.1888,13996480970369,-0.3111,90780176983438,0.5329,44729227060000,0.35,7.438743422721206,2.801678694240576,6.118966455731537,1660.5346745701177,0.1863,20260.888510522585,0.2144,0.19390000000000002,0.2289,0.1659,0.4603,0.2229,0.2534052753722761,0.4948706527025024,68.15346150761,457.978202383207,250.29669642568462,275.8349674651324,0.9634,0.6302,0.1818,2.06498320913117,2.0380121187672793,0.7081459521838157,0.5541506573063967,16.258192342301538,193677553169800,4472922706
Q3/2021,38673828690685,0.5667,11860898846413,1.2946,10961075848180,1.5846,10978756069697,1.57,10351739079315,1.7438,174643274131664,0.4867,95958382276120,1.2151,78684891855544,0.0611,71995624227147,1.0021,43356751775423,0.8068000000000001,18321965895018,-0.3093,84325684009499,0.5335,44729227060000,0.35,8.724235499443655,2.968294906144795,6.833005328943502,2314.312086240419,1.0325,18810.151252652788,0.30670000000000003,0.3013,0.34159999999999996,0.2676,0.456,0.2175,0.23126654651994,0.43914569875531145,78.30876345869251,584.0603273631314,333.237681293358,329.1314095284659,1.0711,0.7242000000000001,0.31129999999999997,2.0968296619802063,1.9336573738896128,0.6938194969303687,0.48360111727880095,19.569189043282805,188757338193200,4472922706
