NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
23/06/2023,60932.127163478704,63205.713997936866,60932.127163478704,62841.940104423564,2200,0.03288490284005974,11958000
22/06/2023,60477.409796587075,61204.95758361369,60295.52284983042,60841.18369010038,600,0.009049773755656076,5610600
21/06/2023,59658.91853618214,60295.52284983042,59567.97506280381,60295.52284983042,800,0.012213740458015376,4490900
20/06/2023,59931.74895631712,59931.74895631712,59567.97506280381,59567.97506280381,-300,-0.00455927051671734,2993000
19/06/2023,60295.52284983042,60568.3532699654,59658.91853618214,59840.80548293879,-300,-0.004538577912254205,3279400
16/06/2023,60477.409796587075,60568.3532699654,60022.69242969544,60113.635903073766,-200,-0.003016591251885359,6021785
15/06/2023,61204.95758361369,61295.901056992014,60204.57937645209,60295.52284983042,-800,-0.011922503725782407,5810400
14/06/2023,61568.73147712699,62023.448844018625,61023.07063685703,61023.07063685703,-500,-0.007396449704141994,5404900
13/06/2023,61932.5053706403,62114.39231739695,61386.84453037034,61477.78800374866,-300,-0.004418262150220897,4973400
12/06/2023,60022.69242969544,61841.56189726197,60022.69242969544,61750.61842388364,2100,0.03191489361702127,5471300
09/06/2023,59658.91853618214,60477.409796587075,59567.97506280381,59840.80548293879,300,0.004580152671755711,2080200
08/06/2023,60477.409796587075,60477.409796587075,59567.97506280381,59567.97506280381,-700,-0.010574018126888185,5180900
07/06/2023,60477.409796587075,60659.29674334373,60022.69242969544,60204.57937645209,-200,-0.003012048192771122,3719000
06/06/2023,60841.18369010038,60841.18369010038,60022.69242969544,60386.46632320875,-100,-0.0015037593984962294,3423000
05/06/2023,60477.409796587075,61114.01411023536,60204.57937645209,60477.409796587075,600,0.009104704097116834,3323000
02/06/2023,60204.57937645209,60295.52284983042,59567.97506280381,59931.74895631712,-200,-0.00302571860816947,3138500
01/06/2023,60113.635903073766,60477.409796587075,60022.69242969544,60113.635903073766,0,0,1214500
