CHỈ TIÊU,    Doanh thu thuần,        Tăng trưởng doanh thu,    Lợi nhuận gộp,        Tăng trưởng lợi nhuận gộp,    Lợi nhuận thuần từ HĐKD,        Tăng trưởng lợi nhuận thuần,    Lợi nhuận trước thuế,        Tăng trưởng lợi nhuận trước thuế,    Lợi nhuận sau thuế của Cổ đông công ty mẹ,        Tăng trưởng lợi nhuận sau thuế,    Tổng tài sản,        Tăng trưởng Tổng tài sản,    Tài sản ngắn hạn,        Tăng trưởng tài sản ngắn hạn,    Tài sản dài hạn,        Tăng trưởng tài sản dài hạn,    Nợ ngắn hạn,        Tăng trưởng nợ ngắn hạn,        Vay và nợ thuê tài chính ngắn hạn,            Tăng trưởng vay và nợ thuê tài chính ngắn hạn,    Nợ dài hạn,        Tăng trưởng Nợ dài hạn,    Vốn chủ sở hữu,        Tăng trưởng vốn chủ sở hữu,    Vốn góp cổ phần,        Tăng trưởng vốn góp cổ phần,    P/E,    P/B,    EV/EBITDA,    EPS (VNĐ/CP),        Tăng trưởng EPS,    Giá trị sổ sách (VNĐ/CP),    Biên lợi nhuận gộp,    Biên EBIT,    Biên EBITDA,    Biên lợi nhuận ròng,    ROE LTM,    ROA LTM,    Vòng quay tài sản (vòng),    Hiệu suất sử dụng tài sản cố định,    Số ngày thu tiền khách hàng (ngày),    Số ngày xử lý hàng tồn kho (ngày),    Số ngày phải trả nhà cung cấp (ngày),    Vòng quay tiền mặt (ngày),    Nợ phải trả / Vốn chủ sở hữu,"    Vay và nợ thuê tài chính ngắn hạn, dài hạn / Vốn chủ sở hữu",    Nợ vay ròng / Vốn chủ sở hữu,    Tổng tài sản / Vốn chủ sở hữu,    Khả năng thanh toán tổng quát,    Khả năng thanh toán nhanh,    Khả năng thanh toán tức thời,    Khả năng thanh toán lãi vay,    Vốn hóa (Tỷ đồng),    Số lượng cổ phiếu lưu hành (Triệu CP)
Q4/2024,22701531000000,0.0924,7062540000000,0.2245,3366541000000,2.7695999999999996,2656630000000,1.8028,691055000000,12.790799999999999,147584718000000,0.0014000000000000002,53569663000000,0.2241,94015055000000,-0.09269999999999999,58712175000000,0.16440000000000002,26724166000000,-0.0466,48120163000000,-0.18059999999999998,40752380000000,0.0658,15129281000000,0.0574,81.48851474139875,3.750944685435756,,480.4492808520269,12.718800000000002,21025.479196162367,0.3111,0.1843,0.22719999999999999,0.0681,0.1082,0.028999999999999998,0.1504029385718673,0.33652826096406846,37.75187199929379,275.9416991799535,183.41999237674605,130.27357880250125,2.6214999999999997,1.6085,1.1367,3.734265163773858,1.3814610890571355,0.7286779445660121,0.32745949200485247,3.37852563997576,97807909956000,1438351617
Q3/2024,21486895000000,0.0661,6420610000000,0.081,1593712000000,2.5976,1565750000000,1.6861000000000002,701071000000,13.4921,154291445000000,0.0635,43529968000000,-0.0902,110761477000000,0.1392,53667186000000,-0.0067,29466890000000,0.1469,59443956000000,0.1222,41180303000000,0.0816,15129281000000,0.0574,161.17590959344727,3.3830524319892317,11.40452983420728,487.41280762922105,13.416500000000001,20512.89243275485,0.2988,0.1523,0.207,0.0605,0.0818,0.0217,0.1378437329294294,0.2976915127495288,48.49756293312738,308.4129758928628,183.15916066900368,173.75137815698648,2.7467,1.5963999999999998,1.1998,3.777296990147491,1.3640693770026653,0.5715049788524407,0.3043318686394327,2.6052305282831223,100972283513400,1438351617
Q2/2024,20134396000000,0.08199999999999999,5917750000000,0.1108,1173665000000,1.5155,1168760000000,1.5921,502577000000,3.7731,157465855000000,0.11789999999999999,48982369000000,0.0675,108483486000000,0.1422,51329961000000,-0.1074,29351515000000,-0.0545,59929784000000,0.30760000000000004,46206110000000,0.2314,15129281000000,0.06269999999999999,353.22668811823354,4.072111309134491,12.180720469218919,349.411780860813,3.7481999999999998,23380.960262097025,0.2939,0.135,0.18170000000000003,0.047,0.057999999999999996,0.0163,0.13246824206428595,0.2828064140171463,54.44444223705543,325.65591244235804,174.66741381898373,205.43294086042974,2.4078999999999997,1.4688999999999999,0.9932,3.5629134422160322,1.4152994418601266,0.7087526133129148,0.42815647181185273,2.3614900240280643,107013360304800,1438351617
Q1/2024,18854898000000,0.0079,5254838000000,0.0332,626631000000,0.1439,633663000000,0.09,104356000000,-0.5144,146522417000000,0.0051,42629110000000,-0.1736,103893307000000,0.10289999999999999,49428183000000,-0.19140000000000001,28205405000000,-0.2373,58260741000000,0.22519999999999998,38833493000000,0.0466,14308434000000,0.005,231.69892604879445,3.65258719610777,10.978309489457589,72.55249604241936,-0.5194,18582.80387360944,0.2787,0.11960000000000001,0.175,0.0254,0.050300000000000004,0.0131,0.12830568359247813,0.2671752797069663,60.40020927188257,348.1058482462577,188.07360592526797,220.43245159287233,2.7731,1.7936,1.4377000000000002,3.8491910959605913,1.3606080510192486,0.6041659471884694,0.27963619459772576,2.0342395144454213,109602393215400,1438351617
Q4/2023,20781920000000,0.0067,5767833000000,0.0385,893065000000,-0.07200000000000001,947833000000,0.0493,50110000000,-0.8879,147383472000000,0.042699999999999995,43763477000000,-0.08199999999999999,103619995000000,0.10619999999999999,50422500000000,-0.2281,28030197000000,-0.309,58723731000000,0.491,38237241000000,0.0437,14308434000000,0.005,112.36094469891557,3.421762973605511,10.833317043841218,35.02130267356455,-0.8885,18562.184994267638,0.2775,0.1259,0.177,0.024900000000000002,0.0499,0.013000000000000001,0.1421199274549587,0.299193169431943,55.08256190958294,330.63822295688044,165.29988187093895,220.42090299552444,2.8544,1.8195,1.3769999999999998,3.8561632091682583,1.3503303838315772,0.6066460211215231,0.335550716446031,2.20418762215296,105166990341000,1430843406
Q3/2023,20154911000000,0.032400000000000005,5939635000000,0.095,442988000000,-0.5402,582905000000,-0.35869999999999996,48376000000,-0.9109,145072630000000,0.12960000000000002,47845660000000,0.30010000000000003,97226970000000,0.0611,54028721000000,-0.1506,25692693000000,-0.36,52970694000000,0.8129000000000001,38073215000000,0.0694,14308434000000,0.005,88.17106940440198,4.35774569733744,12.862607570557953,33.80943001669045,-0.9114,18718.420819280065,0.29469999999999996,0.1155,0.1666,0.024,0.058499999999999996,0.0158,0.14097745103102483,0.29461857393470414,61.52266512117072,358.5554422228594,174.52746608648332,245.55064125754683,2.8104,1.8022,1.4277000000000002,3.7123140303745656,1.3558263846582712,0.6259497055279173,0.26389421655937406,1.9245792971251134,94721833477200,1430843406
Q2/2023,18608561000000,0.0434,5327477000000,0.0725,466572000000,-0.6325,450891000000,-0.6425,105294000000,-0.8926999999999999,140858359000000,0.1245,45883821000000,0.2463,94974538000000,0.0738,57503618000000,0.0986,31045015000000,0.0095,45830438000000,0.3432,37524303000000,-0.032799999999999996,14237248000000,,48.52058255349535,4.018626285421492,11.905484579427588,73.5887655899083,-0.8931999999999999,18518.749074068837,0.2863,0.1202,0.1711,0.0231,0.0659,0.0189,0.12983835186903434,0.27414138568930235,73.89843430128745,378.70235027502275,196.9082982985425,255.69248627776773,2.7538,1.814,1.4555,3.486850296649488,1.3631358765207087,0.556167544101312,0.2339396279378456,1.7825385102519495,104594652978600,1430843406
Q1/2023,18706227000000,0.028399999999999998,5086167000000,-0.0006,547804000000,-0.7298,581345000000,-0.7197,214915000000,-0.8653,145783619000000,0.17300000000000001,51583262000000,0.3452,94200357000000,0.09609999999999999,61125017000000,0.578,36980336000000,0.9278,47552494000000,-0.0258,37106108000000,0.01,14237248000000,0.20600000000000002,37.07995016534922,5.0274467659780075,12.843337131350305,150.95262972605008,-0.8653,18538.6735660975,0.27190000000000003,0.1244,0.18239999999999998,0.0235,0.08929999999999999,0.024399999999999998,0.13029958084597673,0.2770249264169799,77.47952941017984,376.5553345579975,203.8063255595056,250.22853840867174,2.9288,2.0393,1.4736000000000002,3.6572463869778775,1.3414331783877531,0.6204678356163075,0.3434570987522179,1.9540436924443996,113186120248500,1423724783
Q4/2022,20642781000000,-0.13369999999999999,5554169000000,-0.1924,962309000000,-0.8786,903305000000,-0.887,447050000000,-0.9305,141342815000000,0.1209,47674624000000,0.09269999999999999,93668191000000,0.1359,65320877000000,0.8906999999999999,40567379000000,1.1572,39385199000000,-0.1996,36636739000000,-0.1346,14237248000000,0.20600000000000002,13.63872458054556,5.075966078780152,8.686291255159507,314.0002936929981,-0.9309000000000001,18369.165383840904,0.2691,0.1158,0.1707,0.038900000000000004,0.1204,0.0356,0.15303762672694132,0.309829858406943,70.45160884572675,348.0301357407825,184.35725648588485,234.1244881006244,2.858,1.9378,1.4598,3.3864100631059393,1.3499007927677473,0.5087084026749977,0.2680961402278784,2.3705407903890583,110481043160800,1423724783
Q3/2022,19523055000000,-0.1729,5424308000000,-0.11019999999999999,963369000000,-0.44530000000000003,908892000000,-0.5122,543155000000,-0.5266,128431115000000,0.0408,36801602000000,-0.0024,91629513000000,0.0592,63610497000000,0.5959,40143978000000,0.9818000000000001,29219100000000,-0.429,35601518000000,0.0999,14237248000000,0.20600000000000002,15.300642482536269,5.336396458682832,9.115045793963994,381.5028062203789,-0.6075,18016.274849097714,0.2778,0.1042,0.159,0.0431,0.3257,0.08789999999999999,0.15391204319281818,0.30073144171792016,72.95254994671684,363.635723621397,187.94275016070577,248.64552340740806,2.6075,1.7115,1.4945,3.7050774440465446,1.3835147318370886,0.3532867539142164,0.12142815045133196,2.7556464380181507,132406404819000,1423724783
